Disease,Symptom,Property
Asbestosis,No particualar symptom. Doctor's diagnosis required.,hasSymptom
Aspergillosis,No particualar symptom. Doctor's diagnosis required.,hasSymptom
Impetigo,"sores, Rapid, Wheezing",hasSymptom
coronary,"Pain, Nausea, vomiting, Indigestion, Sudden",hasSymptom
Agoraphobia,No particualar symptom. Doctor's diagnosis required.,hasSymptom
Ameloblastoma,"Headache, Acne, Numbness, Swelling, Diarrhea, Pain, Pain",hasSymptom
Angiosarcoma,No particualar symptom. Doctor's diagnosis required.,hasSymptom
Aphasia,"Pain, Nausea, vomiting, Flatulence, Headaches, Squinting",hasSymptom
Brucellosis,No particualar symptom. Doctor's diagnosis required.,hasSymptom
Cervicitis,"Pain, Nausea, Vomiting, Fever, swelling",hasSymptom
Epilepsy,No particualar symptom. Doctor's diagnosis required.,hasSymptom
Esthesioneuroblastoma,No particualar symptom. Doctor's diagnosis required.,hasSymptom
Gangrene,"Swelling, Blisters, Sudden, Thin",hasSymptom
goiter,No particualar symptom. Doctor's diagnosis required.,hasSymptom
Hemophilia,"Pain, Shakiness, Sweating, Headache, Shivering, Slow, Weak",hasSymptom
Kleptomania,"Headache, aches",hasSymptom
Liposarcoma,"Pain, Swelling, Fever, Rash, Headache",hasSymptom
yips,"twitches, Fatigue, Numbness, Fever, Headache, Confusion",hasSymptom
Dry mouth,No particualar symptom. Doctor's diagnosis required.,hasSymptom
Dry,"Fatigue, Numbness, Fever, Headache, Confusion, Small, Swelling, Pain, Swelling, Headache, Cramps, vomiting, Diarrhea, Anaphylaxis, Diarrhea, Fatigue, Weakness, Anemia, Fever, Cough, vomiting, Fainting, Fatigue, Anxiety",hasSymptom
varicocele,"varicocele, Pain, Infertility, Fever, Headache",hasSymptom
Tiredness,Confusion,hasSymptom
Tachycardia,"Fainting, Lightheadedness",hasSymptom
Tuberculosis,No particualar symptom. Doctor's diagnosis required.,hasSymptom
tuberculosis,"Fatigue, Fever, Chills",hasSymptom
Bruxism,"Tired, Jaw, Pain",hasSymptom
