Disease,Treatment,Property
Mayo,No particualar Treatment. Doctor's prescription required.,hasTreatment
Asbestosis,No particualar Treatment. Doctor's prescription required.,hasTreatment
Aspergillosis,No particualar Treatment. Doctor's prescription required.,hasTreatment
Atelectasis,No particualar Treatment. Doctor's prescription required.,hasTreatment
Agoraphobia,No particualar Treatment. Doctor's prescription required.,hasTreatment
Ameloblastoma,No particualar Treatment. Doctor's prescription required.,hasTreatment
Amyloidosis,No particualar Treatment. Doctor's prescription required.,hasTreatment
Angiosarcoma,No particualar Treatment. Doctor's prescription required.,hasTreatment
Aphasia,No particualar Treatment. Doctor's prescription required.,hasTreatment
Astigmatism,No particualar Treatment. Doctor's prescription required.,hasTreatment
Brucellosis,No particualar Treatment. Doctor's prescription required.,hasTreatment
Cervicitis,No particualar Treatment. Doctor's prescription required.,hasTreatment
Claudication,No particualar Treatment. Doctor's prescription required.,hasTreatment
Epilepsy,No particualar Treatment. Doctor's prescription required.,hasTreatment
Esthesioneuroblastoma,No particualar Treatment. Doctor's prescription required.,hasTreatment
Gangrene,No particualar Treatment. Doctor's prescription required.,hasTreatment
goiter,No particualar Treatment. Doctor's prescription required.,hasTreatment
Hemophilia,No particualar Treatment. Doctor's prescription required.,hasTreatment
Hypothermia,No particualar Treatment. Doctor's prescription required.,hasTreatment
Liposarcoma,No particualar Treatment. Doctor's prescription required.,hasTreatment
Lymphoma,No particualar Treatment. Doctor's prescription required.,hasTreatment
Zika,No particualar Treatment. Doctor's prescription required.,hasTreatment
yips,No particualar Treatment. Doctor's prescription required.,hasTreatment
Dry mouth,No particualar Treatment. Doctor's prescription required.,hasTreatment
cancer,No particualar Treatment. Doctor's prescription required.,hasTreatment
White,No particualar Treatment. Doctor's prescription required.,hasTreatment
Tachycardia,No particualar Treatment. Doctor's prescription required.,hasTreatment
Tuberculosis,No particualar Treatment. Doctor's prescription required.,hasTreatment
AIDS,No particualar Treatment. Doctor's prescription required.,hasTreatment
Sarcoma,No particualar Treatment. Doctor's prescription required.,hasTreatment
